no,연도,월,일,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),안개 계속시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2)
5561,YB,8,4,I,27.9,22.7,535.0,32.8,1530.0,,0.0,5.4,270.0,1503.0,3.4,230.0,1241.0,1.5,1335.0,23.2,57.0,1458.0,77.3,28.5,1005.6,1012.0,906,1010.0,1735.0,1011.0,14.0,,,,,,,,,,4.3,,32.9,21.1,,,,,,,,,,,,,11.4,
5562,YA,9,6,H,23.8,21.7,524.0,26.3,1422.0,0.0,0.0,9.2,230.0,1819.0,6.5,230.0,1827.0,2.7,2355.0,17.4,51.0,1129.0,68.3,20.0,998.7,1008.4,925,1005.6,1702.0,1006.6,12.7,0.0,,,,,,,,,8.6,4.6,24.3,17.8,25.1,25.2,25.7,25.7,26.4,26.0,25.0,20.9,18.3,,,,,
5563,YB,5,24,E,25.5,14.4,533.0,34.5,1550.0,,0.0,5.9,270.0,1601.0,3.6,290.0,1414.0,1.4,1177.0,11.0,22.0,1414.0,43.6,13.3,1004.9,1013.0,817,1008.6,1704.0,1010.9,14.3,,1200.0,3.24,,,,,,,0.0,0.0,30.0,8.6,,,,,,,,,,6.1,8.8,,13.0,26.1
5564,YB,11,29,G,5.6,1.9,656.0,11.3,1417.0,,0.0,6.5,290.0,1426.0,3.4,50.0,857.0,1.4,1246.0,-7.3,8.0,1452.0,46.9,3.9,1022.1,1032.4,1008,1030.2,1440.0,1031.2,10.0,,1200.0,2.22,,,,,,,0.5,0.0,4.4,-2.3,,,,,,,,,,2.4,3.4,,9.3,13.67
5565,YC,2,28,F,7.3,1.2,710.0,13.4,1218.0,,0.0,7.0,180.0,1749.0,4.4,160.0,1517.0,1.8,1540.0,1.1,28.0,1135.0,67.8,6.7,1013.9,1027.0,1,1021.3,1647.0,1024.0,11.4,10.4,,,,,,,,,0.8,0.8,6.4,-4.3,,,,,,,,,,,,,,
5566,YC,8,13,C,26.1,24.7,2333.0,27.6,1754.0,0.0,0.0,8.9,140.0,1520.0,5.5,140.0,1041.0,3.6,3078.0,19.7,61.0,1538.0,68.3,22.9,1001.9,1010.9,755,1008.2,2205.0,1009.6,13.7,0.7,1100.0,1.16,8.39,,,,,,8.8,3.1,25.9,21.4,26.8,26.8,26.8,26.7,26.2,24.7,23.0,19.0,15.1,3.2,4.6,,,
5567,YC,9,27,D,19.3,16.7,729.0,23.2,1.0,11.8,31.0,7.7,50.0,348.0,3.6,360.0,334.0,1.1,947.0,18.3,77.0,2.0,94.5,21.0,999.4,1009.3,1,1004.9,1550.0,1007.4,12.0,0.8,1500.0,0.98,5.11,,,,,,8.6,6.6,20.8,16.4,21.4,22.4,23.9,24.4,24.5,23.7,23.6,22.4,18.9,1.1,1.5,,,
5568,YC,11,8,E,15.4,11.0,2400.0,21.4,1451.0,,0.0,10.5,290.0,1326.0,6.4,290.0,1328.0,2.7,2316.0,3.4,22.0,2000.0,51.4,8.5,1011.9,1022.2,2345,1015.8,1412.0,1018.3,10.5,8.4,1200.0,2.08,12.21,,,,,,2.1,0.3,15.5,4.2,,,,,,,,,,4.0,5.7,,,
5569,YC,4,29,E,19.7,10.0,556.0,27.9,1549.0,,0.0,14.4,320.0,1650.0,6.9,290.0,1629.0,2.2,1932.0,1.0,14.0,1559.0,31.8,6.6,1000.3,1008.6,1024,1004.3,1602.0,1006.5,13.6,12.4,1200.0,3.34,25.81,,,,,,0.0,0.0,24.2,2.4,,,,,,,,,,6.8,9.7,,,
5570,YC,1,6,C,6.5,4.5,2336.0,10.8,1318.0,,0.0,6.5,110.0,11.0,4.3,160.0,1031.0,2.5,2143.0,-0.3,48.0,1228.0,62.6,6.0,1017.8,1028.6,912,1024.9,2356.0,1026.7,9.7,8.3,1200.0,1.41,7.54,,,,,,3.4,2.4,3.6,-3.0,4.2,4.1,4.3,4.4,4.8,6.6,8.4,13.3,16.1,1.4,1.9,,,
5571,YA,10,28,E,11.7,4.2,602.0,18.9,1511.0,0.3,0.3,10.9,290.0,1733.0,6.4,320.0,1738.0,1.9,1678.0,3.0,32.0,1404.0,58.3,7.7,1005.1,1016.1,1,1006.4,1629.0,1011.6,10.9,8.2,1100.0,2.32,13.21,,,,,,3.4,2.0,15.2,-0.9,,,,,,,,,,2.7,3.9,,,
5572,YA,2,15,C,-1.4,-4.1,802.0,1.9,1414.0,,0.0,9.3,20.0,345.0,6.6,20.0,444.0,3.9,3405.0,-14.6,19.0,1249.0,36.8,2.0,1013.8,1024.2,811,1021.0,1754.0,1022.5,10.8,9.7,1200.0,1.42,8.95,,,,,,4.6,0.0,0.2,-5.4,-0.3,-0.4,-0.3,-0.1,0.3,2.2,4.5,9.6,14.2,1.6,2.4,,,
5573,YA,2,28,B,4.6,1.8,2246.0,7.8,1230.0,,25.0,9.1,160.0,1529.0,3.7,110.0,1400.0,2.0,1703.0,-0.2,47.0,1217.0,73.3,6.1,1000.1,1021.9,1,1002.3,1926.0,1010.7,11.3,0.0,1100.0,0.39,1.71,,,,,,10.0,7.8,2.0,0.5,1.5,0.6,-0.1,-0.1,0.8,2.9,5.2,11.1,14.9,0.6,0.8,,,
5574,YA,1,20,E,1.8,-4.4,736.0,8.1,1435.0,,0.0,6.2,270.0,1206.0,4.0,250.0,1207.0,1.2,1022.0,-6.3,35.0,1345.0,57.1,3.9,1015.9,1025.1,940,1020.6,1619.0,1022.6,10.1,8.2,1200.0,1.79,10.4,,,,,,2.0,0.3,0.8,-9.2,,,,,,,,,,1.4,2.0,,,
5575,YB,10,27,D,10.8,5.4,654.0,17.4,1423.0,,0.0,6.3,320.0,1445.0,2.8,270.0,1220.0,0.7,605.0,4.2,35.0,1201.0,68.4,8.3,1011.7,1021.9,844,1018.6,1715.0,1020.3,10.9,,1200.0,2.66,,,,,,,0.5,0.0,13.8,-0.7,15.3,15.4,17.1,17.9,18.9,20.1,20.5,21.1,18.9,2.4,3.4,,10.0,17.0
5576,YC,3,23,D,9.5,4.0,708.0,16.6,1500.0,,0.0,7.9,320.0,1524.0,3.9,320.0,1705.0,1.3,1134.0,-4.7,21.0,1548.0,38.1,4.3,1012.2,1022.3,2335,1017.3,1652.0,1020.6,12.3,8.3,1200.0,2.94,18.19,,,,,,4.4,0.4,12.7,-0.8,11.1,11.0,10.6,10.2,9.3,9.0,9.0,11.5,15.2,3.3,4.7,,,
5577,YA,10,26,I,12.8,10.4,1913.0,15.9,1543.0,5.5,11.0,11.7,270.0,1902.0,6.5,270.0,1905.0,2.2,1917.0,8.0,54.0,2106.0,73.6,10.9,1006.2,1017.2,1,1009.1,1404.0,1011.9,10.8,3.0,,,,,,,,,6.9,2.6,12.6,7.8,,,,,,,,,,,,,,
5578,YB,10,11,H,21.1,16.7,550.0,27.0,1409.0,,0.0,13.2,360.0,1823.0,5.6,50.0,1807.0,2.4,2072.0,12.8,31.0,1148.0,60.3,14.8,1004.7,1014.1,14,1010.9,1439.0,1012.7,11.5,,1100.0,2.74,,,,,,,1.0,0.4,20.2,11.8,20.9,20.7,21.1,21.2,22.4,23.2,23.2,21.6,19.8,4.9,7.0,,10.6,18.82
5579,YA,3,20,C,5.3,2.4,2354.0,8.7,1123.0,,0.0,16.3,90.0,1435.0,9.8,70.0,1338.0,7.5,6474.0,-6.4,35.0,1113.0,42.6,3.8,1014.5,1024.4,920,1020.3,6.0,1023.0,12.1,4.9,1100.0,2.42,13.79,,,,,,6.8,2.3,4.5,1.7,6.3,6.3,6.7,6.9,7.1,6.8,6.4,8.0,12.4,3.4,4.9,,,
5580,YC,9,25,H,23.9,20.8,309.0,28.1,1128.0,,0.0,8.0,340.0,545.0,5.3,340.0,538.0,2.6,2210.0,17.2,48.0,1337.0,67.3,19.7,1006.4,1015.9,1,1013.4,1550.0,1014.4,12.1,10.1,1200.0,2.52,16.89,,,,,,3.5,0.0,26.2,16.2,25.1,24.5,24.3,23.9,24.3,24.2,23.8,21.3,19.1,3.6,5.2,,,
5581,YB,9,24,H,19.4,15.8,450.0,24.2,1506.0,,0.0,8.1,340.0,656.0,5.3,340.0,645.0,2.3,1978.0,13.5,49.0,1121.0,70.5,15.6,1010.2,1020.4,2200,1016.5,234.0,1018.3,12.1,,1200.0,3.1,,,,,,,1.6,0.8,21.0,11.1,21.7,21.5,21.6,21.7,23.4,24.4,24.1,21.1,19.2,3.7,5.3,,10.6,21.73
5582,YC,9,2,C,22.9,19.0,626.0,26.9,1548.0,,0.0,7.0,250.0,1417.0,4.5,270.0,1609.0,2.4,2054.0,16.5,50.0,1358.0,68.0,18.8,1004.5,1013.5,925,1011.0,1500.0,1012.3,13.0,11.7,1200.0,2.37,18.01,,,,,,2.5,0.3,24.3,15.4,23.5,23.5,23.5,23.3,22.9,22.7,22.4,20.4,16.6,3.7,5.3,,,
5583,YA,3,12,H,11.2,6.0,627.0,15.8,1319.0,,0.0,10.9,250.0,1755.0,8.1,250.0,1807.0,3.4,2977.0,2.5,29.0,1.0,56.6,7.6,1014.4,1024.9,901,1021.2,1632.0,1022.9,11.8,10.7,1100.0,2.3,15.45,,,,,,0.0,0.0,11.1,0.5,9.8,9.4,9.1,8.9,8.6,9.4,10.7,14.0,16.5,3.0,4.2,,,
5584,YB,12,5,F,3.0,-2.1,2359.0,6.8,1229.0,,0.0,7.1,340.0,1255.0,4.7,320.0,1300.0,2.3,1983.0,-9.1,25.0,1248.0,42.1,3.2,1021.7,1035.2,2310,1029.6,1.0,1032.2,9.9,,,,,,,,,,0.6,0.0,2.5,-5.5,,,,,,,,,,,,,9.0,
5585,YB,3,18,H,11.5,8.1,428.0,14.4,1149.0,,0.0,10.5,230.0,1352.0,7.0,230.0,1309.0,4.0,3490.0,3.4,45.0,1149.0,58.4,7.9,1011.4,1023.7,29,1016.7,2358.0,1019.8,12.0,,1100.0,2.68,,,,,,,8.3,2.4,11.5,0.6,10.5,10.3,10.3,10.2,10.3,10.9,11.9,14.5,16.4,3.0,4.2,,6.4,14.84
5586,YC,5,21,E,24.1,17.6,520.0,30.2,1322.0,,0.0,8.2,290.0,1936.0,5.0,290.0,1938.0,1.8,1552.0,9.9,18.0,1546.0,43.4,12.3,1007.7,1015.9,746,1011.1,1721.0,1013.8,14.2,9.5,1100.0,3.18,23.95,,,,,,5.3,0.0,28.6,11.9,,,,,,,,,,5.7,8.1,,,
5587,YC,9,18,D,21.3,16.3,627.0,26.7,1456.0,,0.0,7.9,180.0,1135.0,4.5,180.0,1136.0,1.5,1327.0,17.0,52.0,1307.0,78.1,19.3,1001.1,1010.5,2346,1006.5,1.0,1009.0,12.3,10.8,1100.0,3.19,21.21,,,,,,2.0,1.4,24.9,11.4,23.5,23.1,23.5,23.7,23.9,24.1,24.1,22.6,18.7,3.4,4.9,,,
5588,YC,10,28,F,17.9,15.3,230.0,19.3,1147.0,,0.0,7.7,360.0,2005.0,4.0,20.0,1501.0,2.6,2227.0,14.4,75.0,918.0,80.5,16.4,1009.4,1021.0,823,1016.5,2355.0,1019.2,10.9,0.3,,,,,,,,,8.9,5.1,16.3,13.2,,,,,,,,,,,,,,
5589,YA,8,25,G,24.9,22.7,258.0,28.3,1258.0,1.7,2.5,4.1,230.0,2354.0,2.6,230.0,3.0,0.8,655.0,22.4,61.0,1334.0,87.4,27.1,1001.9,1011.5,2358,1008.1,41.0,1010.1,13.2,1.0,1000.0,2.22,11.83,,,,,,8.8,5.6,26.4,20.3,,,,,,,,,,2.0,2.8,,,
5590,YB,10,9,H,17.5,12.6,626.0,23.2,1307.0,,0.0,9.9,360.0,9.0,5.6,340.0,346.0,2.2,1920.0,7.2,33.0,427.0,51.1,10.4,1010.1,1020.6,829,1016.7,1422.0,1018.3,11.6,,1200.0,2.87,,,,,,,0.0,0.0,18.1,7.8,20.2,20.2,21.1,21.5,23.0,23.5,23.3,21.5,19.7,3.6,5.1,,10.6,19.7
5591,YC,2,26,F,5.4,0.0,705.0,9.3,1318.0,,0.0,7.0,110.0,1411.0,4.5,90.0,1503.0,2.2,1915.0,-3.0,36.0,3.0,55.5,5.0,1013.4,1026.4,2342,1021.3,1.0,1023.6,11.3,8.8,,,,,,,,,3.6,2.0,3.1,-3.6,,,,,,,,,,,,,,
5592,YB,12,1,E,6.9,5.4,1833.0,9.0,1032.0,,21.0,4.5,250.0,2204.0,3.4,270.0,2147.0,1.0,860.0,3.7,48.0,1040.0,81.6,8.0,1014.6,1025.4,20,1016.3,2353.0,1021.3,9.9,,1000.0,0.42,,,,,,,10.0,7.0,7.5,5.2,,,,,,,,,,0.7,0.9,,0.0,1.67
5593,YA,6,2,A,18.2,13.3,559.0,25.1,1258.0,,0.0,6.3,270.0,1402.0,4.0,270.0,1339.0,1.6,1419.0,12.7,39.0,1326.0,72.1,14.7,1009.6,1015.1,1036,1012.7,1750.0,1013.9,14.6,13.4,1300.0,3.68,31.1,,,,,,1.8,0.0,28.1,10.0,,,,,,,,,,5.2,7.5,,,
5594,YA,3,16,F,4.0,2.2,2005.0,7.1,1.0,,0.2,13.1,20.0,238.0,7.4,20.0,241.0,4.6,3993.0,-1.8,49.0,1724.0,66.3,5.4,1015.6,1030.2,2400,1016.6,1.0,1026.0,12.0,5.6,,,,,,,,,7.6,6.8,5.3,0.3,,,,,,,,,,,,,,
5595,YC,3,19,G,11.4,3.4,658.0,20.6,1435.0,,0.0,8.5,270.0,1722.0,4.4,270.0,1725.0,1.3,1109.0,-3.4,13.0,1401.0,37.5,4.8,1016.3,1028.0,857,1021.9,1528.0,1025.1,12.1,9.7,1200.0,3.0,20.61,,,,,,2.3,0.0,13.2,-4.1,,,,,,,,,,3.8,5.4,,,
5596,YC,11,17,B,3.0,-1.6,321.0,5.8,1508.0,,0.0,8.6,320.0,2158.0,4.8,320.0,2206.0,2.2,1913.0,-10.1,25.0,1108.0,39.4,3.0,1009.2,1024.8,1,1016.2,1552.0,1020.0,10.1,0.0,1000.0,0.22,1.24,,,,,,8.5,7.1,1.6,-9.0,3.8,5.5,7.4,9.0,10.7,15.2,17.6,19.6,18.7,1.2,1.8,,,
5597,YC,10,12,E,14.8,13.9,2003.0,17.4,1.0,5.0,27.0,6.6,290.0,47.0,3.8,290.0,52.0,1.3,1160.0,12.5,64.0,128.0,87.1,14.5,1012.8,1020.6,830,1018.0,1554.0,1019.2,11.4,0.0,900.0,0.27,1.74,,,,,,9.8,3.8,16.5,13.8,,,,,,,,,,0.7,1.0,,,
5598,YC,3,18,E,10.3,3.1,651.0,17.5,1441.0,,0.0,8.1,320.0,1728.0,4.7,320.0,1734.0,1.2,1055.0,-5.3,14.0,1537.0,38.0,4.2,1017.1,1025.4,903,1020.4,1723.0,1023.1,12.1,6.6,1300.0,2.52,14.2,,,,,,3.9,0.6,11.6,-2.5,,,,,,,,,,3.0,4.4,,,
5599,YA,7,26,C,28.4,26.5,1.0,31.4,1437.0,,0.0,6.9,270.0,1416.0,4.8,270.0,1350.0,2.3,2021.0,25.2,64.0,1619.0,83.9,32.2,999.6,1008.7,1012,1005.5,1819.0,1007.3,14.3,8.2,1200.0,3.33,21.73,,,,,,4.4,3.9,34.5,24.0,30.0,29.4,28.9,28.2,27.0,24.3,21.3,16.6,13.4,4.3,6.2,,,
5600,YA,4,21,E,21.8,13.0,549.0,32.0,1436.0,,0.0,7.7,160.0,1557.0,4.3,180.0,1557.0,1.3,1095.0,2.9,9.0,1420.0,35.1,7.9,1011.4,1019.4,711,1014.6,1541.0,1017.6,13.3,11.2,1200.0,3.29,24.68,,,,,,3.0,0.4,24.9,6.0,,,,,,,,,,6.1,8.7,,,
5601,YC,5,8,A,15.3,11.8,656.0,18.1,1153.0,,0.0,12.9,250.0,308.0,9.6,230.0,42.0,5.3,4583.0,10.3,50.0,2214.0,72.3,12.5,994.7,1013.2,2248,1010.6,1636.0,1011.8,14.0,5.8,,,,,,,,,6.1,1.1,19.4,11.6,,,,,,,,,,,,,,
5602,YC,7,9,D,26.7,22.5,1944.0,32.4,1348.0,30.4,31.0,17.0,180.0,1929.0,9.9,180.0,1931.0,1.2,1041.0,24.5,65.0,1341.0,88.8,30.8,998.8,1008.9,233,1003.6,1715.0,1006.6,14.5,7.0,1100.0,3.11,19.64,,,,,,7.9,5.3,31.2,22.0,28.2,27.6,27.4,27.1,25.9,24.9,23.5,19.2,15.2,3.1,4.5,,,
5603,YA,4,24,I,12.1,8.4,1.0,15.2,1241.0,1.5,1.5,10.3,50.0,1408.0,6.5,70.0,1225.0,4.5,3889.0,2.6,32.0,2059.0,55.1,7.6,1006.8,1014.2,2311,1011.1,1454.0,1012.6,13.5,0.5,,,,,,,,,,,11.6,3.3,,,,,,,,,,,,,,
5604,YB,10,23,D,16.5,12.9,410.0,18.6,1310.0,0.0,0.0,7.4,50.0,1326.0,4.1,50.0,1040.0,1.5,1337.0,11.7,62.0,2218.0,74.1,13.8,1010.7,1020.1,2250,1017.9,1614.0,1019.0,11.0,,900.0,0.84,,,,,,,9.8,4.6,16.1,9.4,17.1,17.2,18.2,18.7,19.0,20.1,21.0,21.1,18.8,1.5,2.2,,0.2,5.52
5605,YC,9,6,C,20.8,18.7,2304.0,23.1,1134.0,1.0,1.9,6.0,360.0,1632.0,4.0,20.0,1639.0,1.5,1323.0,17.6,60.0,1235.0,82.5,20.3,1000.5,1010.1,20,1007.3,1918.0,1008.3,12.8,0.0,1200.0,0.79,4.73,,,,,,9.6,5.0,21.7,16.0,22.7,22.9,23.2,23.3,23.1,22.8,22.2,20.4,16.6,1.4,2.0,,,
5606,YA,4,26,D,15.5,7.2,557.0,23.9,1533.0,,0.0,6.9,290.0,1556.0,3.8,200.0,1442.0,1.3,1132.0,6.0,26.0,1435.0,57.6,9.4,1006.2,1016.6,729,1011.6,1640.0,1014.4,13.5,11.1,1100.0,3.3,25.05,,,,,,3.5,0.0,16.8,3.5,16.8,16.3,15.9,15.6,14.7,13.5,12.7,12.2,14.5,4.3,6.1,,,
5607,YC,12,29,G,4.4,0.4,610.0,8.3,1512.0,,0.0,5.6,360.0,2319.0,2.9,20.0,2325.0,0.7,640.0,-0.4,62.0,18.0,70.9,6.1,1018.7,1029.6,1003,1026.6,1627.0,1027.8,9.8,0.1,1200.0,0.91,5.11,,,,,,8.4,8.4,1.8,-3.4,,,,,,,,,,0.7,1.0,,,
5608,YC,8,21,F,26.9,24.9,26.0,30.5,1049.0,1.9,2.1,9.6,200.0,1115.0,5.7,180.0,1131.0,2.8,2412.0,24.6,74.0,1806.0,87.6,30.9,999.8,1010.3,2309,1007.3,1543.0,1009.0,13.3,4.2,,,,,,,,,8.4,4.1,28.4,24.1,,,,,,,,,,,,,,
5609,YC,6,26,F,21.5,19.8,232.0,24.2,1553.0,0.2,0.2,6.2,90.0,1637.0,3.7,90.0,1517.0,1.6,1409.0,20.2,79.0,1430.0,93.3,23.7,998.8,1010.5,2248,1005.8,214.0,1008.2,14.6,0.6,,,,,,,,,9.4,6.1,23.4,19.3,,,,,,,,,,,,,,
5610,YA,4,13,H,13.7,11.6,530.0,17.4,944.0,,0.0,12.3,50.0,2038.0,5.4,70.0,2043.0,3.4,2918.0,0.1,24.0,753.0,40.6,6.4,1015.2,1025.6,1025,1020.8,1.0,1023.6,13.0,3.8,1100.0,1.38,6.95,,,,,,8.0,5.8,16.1,7.1,15.1,15.1,15.3,15.0,14.5,13.1,12.9,13.5,15.5,2.6,3.7,,,
5611,YB,5,19,I,18.6,17.2,421.0,20.0,1543.0,5.5,26.0,6.0,250.0,2351.0,3.9,250.0,2354.0,1.5,1254.0,17.1,85.0,1.0,91.5,19.5,1003.3,1012.9,1,1005.0,2332.0,1008.8,14.3,,,,,,,,,,8.8,5.3,19.5,16.9,,,,,,,,,,,,,0.0,
5612,YA,1,14,B,0.6,-4.4,1.0,5.4,1601.0,,0.0,5.3,90.0,245.0,2.8,160.0,1835.0,1.2,995.0,-5.6,48.0,1558.0,64.1,4.0,1017.9,1033.4,1,1024.0,2228.0,1028.8,9.8,5.6,1200.0,0.9,4.55,,,,,,7.0,7.0,-1.1,-6.8,-0.9,-0.8,-0.1,0.6,2.0,4.9,7.9,14.3,17.0,0.8,1.1,,,
5613,YA,3,18,E,9.1,1.3,714.0,14.8,1656.0,,1.5,4.8,270.0,1405.0,2.9,290.0,1324.0,0.9,757.0,2.9,38.0,1238.0,68.8,7.8,1014.9,1025.4,1,1017.7,2342.0,1021.4,12.0,5.6,1200.0,2.33,12.99,,,,,,8.4,3.8,9.6,-4.5,,,,,,,,,,1.8,2.5,,,
5614,YA,5,9,G,16.8,13.8,414.0,22.6,1359.0,,0.0,6.6,200.0,1530.0,3.9,250.0,1822.0,1.7,1435.0,11.4,52.0,1255.0,71.6,13.6,1012.2,1024.3,2249,1017.4,151.0,1020.8,13.8,7.4,1300.0,3.35,22.33,,,,,,6.9,6.9,22.1,11.9,,,,,,,,,,3.5,4.9,,,
5615,YC,10,3,D,18.0,14.6,701.0,22.9,1419.0,,0.0,4.9,340.0,1641.0,2.4,340.0,1646.0,0.8,733.0,13.9,57.0,1450.0,78.5,15.9,1009.9,1021.2,2321,1013.6,1.0,1018.0,11.8,7.1,1200.0,2.98,17.28,,,,,,5.0,2.4,20.3,10.8,20.4,20.5,21.1,21.4,21.9,22.7,23.3,23.3,19.1,2.6,3.8,,,
5616,YA,10,29,D,9.1,6.3,229.0,14.0,1521.0,0.1,0.2,8.5,340.0,1626.0,4.1,320.0,1556.0,1.2,1011.0,6.0,54.0,1604.0,82.4,9.4,1006.7,1019.2,2359,1012.3,101.0,1015.0,10.8,3.2,1300.0,1.25,7.29,,,,,,5.9,5.5,10.1,2.1,11.0,11.5,12.9,13.6,15.6,18.2,20.0,21.5,19.7,1.2,1.7,,,
5617,YC,2,19,A,4.1,0.7,26.0,6.2,2024.0,,0.0,16.9,200.0,1149.0,9.0,200.0,253.0,5.0,4277.0,1.4,54.0,155.0,83.3,6.9,994.4,1023.3,1,1006.2,1758.0,1012.2,11.0,0.0,,,,,,,,,9.9,5.5,1.8,-2.1,,,,,,,,,,,,,,
5618,YB,11,24,E,13.9,9.3,514.0,20.2,1532.0,,0.0,9.3,270.0,2212.0,6.3,290.0,2218.0,1.3,1163.0,9.1,52.0,1450.0,74.5,11.6,1012.4,1022.8,3,1015.3,1658.0,1018.9,10.1,,1200.0,1.78,,,,,,,6.5,5.0,13.8,6.5,,,,,,,,,,2.1,2.9,,5.0,7.98
5619,YB,9,20,I,18.3,13.0,55.0,22.3,1447.0,,0.0,6.2,20.0,228.0,3.9,360.0,323.0,1.5,1289.0,11.3,48.0,321.0,64.6,13.5,1012.4,1019.8,2349,1017.1,307.0,1018.1,12.3,,,,,,,,,,9.8,7.6,19.6,10.1,,,,,,,,,,,,,0.1,
5620,YB,6,7,A,17.5,14.7,123.0,21.4,1624.0,2.7,3.9,11.1,340.0,1411.0,7.2,340.0,715.0,4.2,3630.0,15.3,66.0,1626.0,87.9,17.4,1000.2,1007.1,2320,1002.6,209.0,1004.4,14.7,,1200.0,3.6,,,,,,,4.3,2.8,21.6,14.1,,,,,,,,,,4.2,6.0,,9.8,27.33
5621,YA,3,3,C,7.2,0.5,107.0,13.5,1534.0,,0.1,7.3,140.0,1016.0,4.6,140.0,1020.0,2.2,1894.0,-7.3,9.0,1313.0,41.0,4.0,1005.6,1017.0,142,1010.9,1650.0,1014.1,11.4,9.5,1200.0,2.53,16.44,,,,,,5.6,5.0,4.1,-2.7,0.2,-0.1,0.1,0.3,0.7,2.2,4.0,8.8,13.5,3.2,4.6,,,
5622,YA,6,1,A,19.9,14.1,134.0,24.6,1159.0,,0.0,8.4,320.0,1445.0,6.2,290.0,1656.0,3.1,2640.0,9.6,33.0,1356.0,53.9,12.0,1009.8,1014.9,1015,1013.0,46.0,1014.0,14.6,13.8,1200.0,3.63,31.47,,,,,,0.0,0.0,26.4,10.6,,,,,,,,,,6.3,9.0,,,
5623,YB,9,6,C,24.7,22.1,252.0,27.8,1350.0,4.4,6.9,7.2,90.0,2314.0,4.6,90.0,2319.0,2.3,2025.0,22.6,70.0,1219.0,88.8,27.6,1000.8,1011.2,1,1005.9,2348.0,1008.7,12.8,,1200.0,1.47,,,,,,,10.0,5.3,25.1,21.0,24.3,24.2,24.2,24.1,23.9,23.7,22.8,20.7,15.7,2.3,3.2,,0.3,7.9
5624,YB,1,30,C,1.7,-1.2,825.0,6.1,1423.0,,0.0,5.9,340.0,2315.0,4.5,340.0,2400.0,1.7,1443.0,-3.4,50.0,1314.0,69.8,4.9,1016.9,1028.4,302,1022.9,2400.0,1025.7,10.3,,1300.0,1.62,,,,,,,6.4,1.9,0.5,-7.0,0.1,0.1,0.7,1.2,1.6,3.4,5.7,10.6,14.7,1.5,2.1,,6.4,8.64
5625,YC,11,26,B,3.3,-0.3,2357.0,7.6,1418.0,,0.0,10.5,320.0,1151.0,5.5,320.0,1159.0,1.8,1518.0,-2.0,37.0,1507.0,71.6,5.5,1014.4,1028.9,2237,1021.1,152.0,1025.2,9.9,6.8,1200.0,1.21,5.95,,,,,,4.3,4.0,3.5,-6.3,5.3,5.8,6.2,6.7,7.9,12.0,15.4,19.0,18.6,1.1,1.5,5.5,,
5626,YC,5,20,A,17.9,15.6,2315.0,21.8,1142.0,,0.0,9.2,200.0,155.0,7.2,230.0,2400.0,4.5,3920.0,10.2,39.0,1146.0,61.6,12.5,998.7,1017.3,845,1014.0,1810.0,1015.7,14.4,12.5,,,,,,,,,4.4,0.0,23.6,13.7,,,,,,,,,,,,,,
5627,YB,4,10,B,7.1,4.7,17.0,10.2,1813.0,1.9,5.6,7.6,50.0,123.0,3.1,320.0,1111.0,1.8,1559.0,3.5,61.0,1810.0,78.4,7.9,1002.4,1015.8,2330,1010.7,331.0,1012.8,12.9,,1300.0,1.14,,,,,,,8.3,7.0,8.6,0.8,8.5,9.0,9.2,9.4,9.7,9.4,9.5,10.7,13.3,1.1,1.6,,1.1,6.98
5628,YC,7,8,C,25.3,24.2,747.0,26.1,1453.0,3.3,4.2,10.5,180.0,1025.0,6.2,180.0,949.0,3.8,3317.0,23.7,86.0,1448.0,91.4,29.3,998.1,1007.6,2304,1004.2,538.0,1005.8,14.6,0.0,1400.0,0.67,3.79,,,,,,9.8,6.6,25.3,23.7,25.2,25.2,25.1,24.9,24.6,22.4,20.3,15.9,13.4,1.2,1.7,,,
